localized_name,primary_attr,base_health,base_armor,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,move_speed
Lich,int,,0.125,0.6666666666666666,0.53125,0.9333333333333333,0.48837209302325585,0.425,0.6538461538461539,0.2727272727272727
Riki,agi,,0.25,0.6,0.9375,0.4666666666666667,0.46511627906976744,0.6,0.25,0.7272727272727273
Enigma,all,,0.375,0.7,0.4375,0.6333333333333333,0.5813953488372093,0.25,0.6923076923076923,0.09090909090909091
Tinker,int,,0.5,0.6333333333333333,0.53125,1.0,0.5348837209302325,0.35,0.6346153846153846,0.5454545454545454
Sniper,agi,,0.25,0.6333333333333333,0.84375,0.5,0.46511627906976744,0.8,0.5,0.18181818181818182
Necrophos,int,,0.5,0.6,0.375,0.7666666666666667,0.5348837209302325,0.325,0.5192307692307693,0.09090909090909091
Warlock,int,,0.375,0.7333333333333333,0.3125,0.8333333333333334,0.5581395348837209,0.25,0.5961538461538461,0.45454545454545453
Beastmaster,all,,0.125,0.8333333333333334,0.59375,0.5333333333333333,0.6744186046511628,0.5,0.36538461538461536,0.5454545454545454
Queen of Pain,int,,0.25,0.6666666666666666,0.6875,0.8333333333333334,0.5581395348837209,0.625,0.6538461538461539,0.2727272727272727
Venomancer,all,,0.25,0.6333333333333333,0.78125,0.6333333333333333,0.48837209302325585,0.7,0.34615384615384615,0.09090909090909091
Faceless Void,agi,,0.25,0.6666666666666666,0.75,0.5,0.6046511627906977,0.825,0.28846153846153844,0.45454545454545453
Wraith King,str,,0.25,0.7333333333333333,0.5,0.5333333333333333,0.6511627906976744,0.425,0.3076923076923077,0.6363636363636364
Death Prophet,all,,0.375,0.7,0.53125,0.8,0.6744186046511628,0.5,0.5769230769230769,0.2727272727272727
Phantom Assassin,agi,,0.375,0.6333333333333333,0.65625,0.5,0.46511627906976744,0.85,0.3269230769230769,0.6363636363636364
Pugna,int,,0.25,0.6333333333333333,0.65625,0.8666666666666667,0.46511627906976744,0.325,1.0,0.9090909090909091
Templar Assassin,agi,,0.25,0.7,0.71875,0.6666666666666666,0.5581395348837209,0.85,0.3846153846153846,0.6363636363636364
Viper,agi,,0.0,0.7,0.65625,0.5666666666666667,0.5581395348837209,0.725,0.3846153846153846,0.0
Luna,agi,,0.5,0.7,0.75,0.7666666666666667,0.5116279069767442,0.85,0.36538461538461536,0.9090909090909091
Dragon Knight,str,,0.25,0.7,0.4375,0.6,0.744186046511628,0.5,0.3269230769230769,0.6363636363636364
Dazzle,all,,0.25,0.6333333333333333,0.625,0.8333333333333334,0.5348837209302325,0.425,0.673076923076923,0.5454545454545454
Clockwerk,str,,0.375,0.8666666666666667,0.40625,0.6,0.744186046511628,0.575,0.3269230769230769,0.6363636363636364
Leshrac,int,,0.375,0.6666666666666666,0.53125,0.7333333333333333,0.6511627906976744,0.625,0.673076923076923,0.9090909090909091
Nature's Prophet,all,,0.25,0.6333333333333333,0.4375,0.7333333333333333,0.6046511627906977,0.65,0.673076923076923,0.36363636363636365
Lifestealer,str,,0.375,0.7666666666666667,0.46875,0.5,0.5581395348837209,0.475,0.34615384615384615,0.8181818181818182
Dark Seer,int,,0.5,0.6666666666666666,0.59375,0.7333333333333333,0.6046511627906977,0.375,0.5192307692307693,0.36363636363636365
Clinkz,agi,,0.25,0.6,0.78125,0.7,0.46511627906976744,0.675,0.4230769230769231,0.18181818181818182
Omniknight,str,,0.5,0.7333333333333333,0.46875,0.5333333333333333,0.7209302325581396,0.425,0.40384615384615385,0.6363636363636364
Enchantress,int,,0.375,0.5666666666666667,0.59375,0.7333333333333333,0.46511627906976744,0.525,0.7692307692307692,0.8181818181818182
Huskar,str,,0.375,0.7666666666666667,0.3125,0.6,0.7674418604651163,0.375,0.0,0.2727272727272727
Night Stalker,str,,0.5,0.7666666666666667,0.5625,0.5,0.6976744186046512,0.55,0.3076923076923077,0.36363636363636365
Broodmother,agi,,0.125,0.6,0.5625,0.6,0.6744186046511628,0.85,0.3846153846153846,0.18181818181818182
Bounty Hunter,agi,,0.875,0.6333333333333333,0.65625,0.6666666666666666,0.5813953488372093,0.65,0.36538461538461536,0.9090909090909091
Weaver,agi,,0.375,0.5333333333333333,0.53125,0.6666666666666666,0.46511627906976744,0.825,0.3846153846153846,0.0
Jakiro,int,,0.375,0.8333333333333334,0.46875,0.8333333333333334,0.5813953488372093,0.3,0.5769230769230769,0.2727272727272727
Batrider,all,,0.5,0.7666666666666667,0.40625,0.7333333333333333,0.6744186046511628,0.5,0.5576923076923077,0.8181818181818182
Chen,int,,0.125,0.7666666666666667,0.46875,0.6333333333333333,0.46511627906976744,0.525,0.6153846153846154,0.5454545454545454
Spectre,agi,,0.25,0.7,0.8125,0.5333333333333333,0.5581395348837209,0.6,0.3269230769230769,0.36363636363636365
Ancient Apparition,int,,0.125,0.6666666666666666,0.625,0.7666666666666667,0.4418604651162791,0.5,0.5961538461538461,0.18181818181818182
Doom,str,,0.5,0.8,0.46875,0.5,0.8372093023255814,0.375,0.36538461538461536,0.2727272727272727
Ursa,agi,,0.375,0.8333333333333334,0.5625,0.5333333333333333,0.5581395348837209,0.7,0.28846153846153844,0.6363636363636364
Spirit Breaker,str,,0.375,0.9333333333333333,0.53125,0.4666666666666667,0.7674418604651163,0.425,0.34615384615384615,0.36363636363636365
Gyrocopter,agi,,0.375,0.7333333333333333,0.78125,0.7,0.5813953488372093,0.85,0.4615384615384615,0.7272727272727273
Alchemist,str,,0.25,0.7666666666666667,0.6875,0.8333333333333334,0.6279069767441862,0.375,0.34615384615384615,0.36363636363636365
Invoker,int,,0.125,0.6333333333333333,0.4375,0.6666666666666666,0.5813953488372093,0.5,0.7692307692307692,0.18181818181818182
Silencer,int,,0.25,0.6,0.6875,0.8333333333333334,0.5116279069767442,0.55,0.5576923076923077,0.45454545454545453
Outworld Devourer,int,,0.25,0.7,0.53125,1.0,0.6744186046511628,0.4,0.8076923076923077,0.7272727272727273
Lycan,str,,0.25,0.9333333333333333,0.5625,0.7666666666666667,0.7906976744186046,0.425,0.3269230769230769,0.5454545454545454
Brewmaster,all,,0.375,0.8,0.59375,0.5666666666666667,0.744186046511628,0.5,0.36538461538461536,0.6363636363636364
Shadow Demon,int,,0.25,0.7666666666666667,0.5625,0.7333333333333333,0.6046511627906977,0.55,0.6923076923076923,0.2727272727272727
Lone Druid,agi,,0.25,0.6666666666666666,0.6875,0.43333333333333335,0.5813953488372093,0.7,0.2692307692307692,0.45454545454545453
Chaos Knight,str,,0.5,0.8,0.5625,0.6,0.7209302325581396,0.45,0.23076923076923075,0.9090909090909091
Meepo,agi,,0.625,0.8,0.53125,0.6,0.5116279069767442,0.525,0.36538461538461536,0.7272727272727273
Treant Protector,str,,0.375,0.8333333333333334,0.46875,0.6666666666666666,0.7906976744186046,0.45,0.34615384615384615,0.09090909090909091
Ogre Magi,str,,0.75,0.8333333333333334,0.4375,0.0,0.9767441860465117,0.375,0.0,0.2727272727272727
Undying,str,,0.25,0.7333333333333333,0.40625,0.9,0.5581395348837209,0.3,0.5384615384615384,0.45454545454545453
Rubick,int,,0.375,0.7,0.71875,0.8,0.46511627906976744,0.625,0.7115384615384616,0.2727272727272727
Disruptor,int,,0.25,0.7,0.46875,0.6666666666666666,0.5581395348837209,0.35,0.5576923076923077,0.36363636363636365
Nyx Assassin,all,,0.375,0.5666666666666667,0.5625,0.7,0.6279069767441862,0.725,0.5,0.6363636363636364
Naga Siren,agi,,0.375,0.7,0.6875,0.6333333333333333,0.5581395348837209,0.85,0.3846153846153846,1.0
Keeper of the Light,int,,0.25,0.6,0.46875,0.8,0.5348837209302325,0.4,0.6346153846153846,0.7272727272727273
Io,all,,0.375,0.6333333333333333,0.4375,0.7,0.6976744186046512,0.4,0.3269230769230769,0.8181818181818182
Visage,all,,0.25,0.7333333333333333,0.34375,0.7333333333333333,0.6511627906976744,0.325,0.5576923076923077,0.18181818181818182
Slark,agi,,0.25,0.6666666666666666,0.65625,0.5333333333333333,0.48837209302325585,0.375,0.36538461538461536,0.45454545454545453
Medusa,agi,,0.125,0.0,0.6875,0.8333333333333334,0.0,0.9,0.6923076923076923,0.0
Troll Warlord,agi,,0.125,0.7,0.71875,0.43333333333333335,0.5813953488372093,0.825,0.1923076923076923,0.2727272727272727
Centaur Warrunner,str,,0.0,0.9,0.46875,0.5,0.9767441860465117,0.25,0.3076923076923077,0.45454545454545453
Magnus,all,,0.375,0.7666666666666667,0.4375,0.6666666666666666,0.7209302325581396,0.5,0.40384615384615385,0.5454545454545454
Timbersaw,str,,0.25,0.7666666666666667,0.5,0.7666666666666667,0.8372093023255814,0.4,0.5192307692307693,0.09090909090909091
Bristleback,str,,0.375,0.7333333333333333,0.53125,0.4666666666666667,0.6511627906976744,0.45,0.5384615384615384,0.36363636363636365
Tusk,str,,0.375,0.7666666666666667,0.71875,0.6,0.9069767441860466,0.475,0.3269230769230769,0.6363636363636364
Skywrath Mage,int,,0.0,0.7,0.40625,0.8333333333333334,0.46511627906976744,0.2,0.7884615384615383,0.9090909090909091
Abaddon,all,,0.125,0.7,0.6875,0.6,0.6046511627906977,0.375,0.3846153846153846,0.9090909090909091
Elder Titan,str,,0.25,0.8666666666666667,0.5,0.7666666666666667,0.6976744186046512,0.45,0.3076923076923077,0.5454545454545454
Legion Commander,str,,0.125,0.8,0.5625,0.6666666666666666,0.7209302325581396,0.425,0.4230769230769231,0.9090909090909091
Techies,all,,0.5,0.6333333333333333,0.5,0.8333333333333334,0.6046511627906977,0.45,0.5769230769230769,0.6363636363636364
Ember Spirit,agi,,0.25,0.7333333333333333,0.6875,0.6666666666666666,0.5813953488372093,0.8,0.4230769230769231,0.45454545454545453
Earth Spirit,str,,0.25,0.7333333333333333,0.53125,0.6,0.8837209302325582,0.6,0.40384615384615385,0.2727272727272727
Underlord,str,,0.625,0.8333333333333334,0.375,0.6,0.744186046511628,0.4,0.44230769230769224,0.2727272727272727
Terrorblade,agi,,1.0,0.6,0.71875,0.6333333333333333,0.46511627906976744,1.0,0.3076923076923077,0.7272727272727273
Phoenix,str,,0.125,0.7666666666666667,0.375,0.5333333333333333,0.7674418604651163,0.375,0.34615384615384615,0.09090909090909091
Oracle,int,,0.375,0.6666666666666666,0.46875,0.8666666666666667,0.5116279069767442,0.425,0.6923076923076923,0.36363636363636365
Winter Wyvern,int,,0.375,0.7333333333333333,0.5,0.8666666666666667,0.5813953488372093,0.425,0.6923076923076923,0.18181818181818182
Arc Warden,all,,0.25,0.6666666666666666,0.625,0.8,0.5116279069767442,0.675,0.5,0.45454545454545453
Monkey King,agi,,0.375,0.6333333333333333,0.75,0.6666666666666666,0.6511627906976744,0.925,0.34615384615384615,0.45454545454545453
Dark Willow,int,,0.25,0.6666666666666666,0.5625,0.7,0.46511627906976744,0.4,0.673076923076923,0.2727272727272727
Pangolier,all,,0.5,0.6666666666666666,0.5625,0.5333333333333333,0.6279069767441862,0.8,0.4807692307692307,0.45454545454545453
Grimstroke,int,,0.25,0.7,0.5625,0.8333333333333334,0.5581395348837209,0.475,0.7307692307692307,0.2727272727272727
Hoodwink,agi,,0.25,0.5666666666666667,0.78125,0.7,0.46511627906976744,0.9,0.5576923076923077,0.7272727272727273
Void Spirit,all,,0.125,0.7333333333333333,0.65625,0.8,0.6046511627906977,0.55,0.5961538461538461,0.2727272727272727
Snapfire,all,,0.375,0.7,0.5,0.7,0.813953488372093,0.475,0.4230769230769231,0.45454545454545453
Mars,str,,0.125,0.7666666666666667,0.5625,0.7,0.8604651162790699,0.425,0.4230769230769231,0.6363636363636364
Ring Master,int,,0.375,0.7,0.34375,0.8333333333333334,0.48837209302325585,0.4,0.5769230769230769,0.6363636363636364
Dawnbreaker,str,,0.5,0.8333333333333334,0.4375,0.6666666666666666,0.7906976744186046,0.425,0.3846153846153846,0.45454545454545453
Marci,all,,0.25,0.7666666666666667,0.625,0.6333333333333333,0.744186046511628,0.55,0.36538461538461536,0.7272727272727273
Primal Beast,str,,0.5,0.8666666666666667,0.46875,0.5333333333333333,1.0,0.25,0.3269230769230769,0.5454545454545454
Muerta,int,,0.25,0.6333333333333333,0.65625,0.7666666666666667,0.46511627906976744,0.675,0.6923076923076923,0.36363636363636365
Kez,agi,,0.375,0.6666666666666666,0.84375,0.6666666666666666,0.6511627906976744,0.875,0.3269230769230769,0.6363636363636364
Largo,str,,0.5,0.8,0.4375,0.7,0.8372093023255814,0.325,0.5,0.2727272727272727
